ObtenerInformacion,De que trata el mooc?
ObtenerInformacion,Quiero informacion del curso de emprendimiento
ObtenerInformacion,Muestrame un resumen del mooc?
ObtenerInformacion,Breve introducción al curso
ObtenerInformacion,que es emprendimiento
ObtenerInformacion,De que se trata el curso?
ObtenerInformacion,De qué va el curso?
ObtenerInformacion,Me ayudas con información acerca del curso?
ObtenerFechas,Cuáles son las fechas importantes del curso?
ObtenerFechas,Fechas clave del curso
ObtenerFechas,Que fechas debo tomar en cuenta
ObtenerFechas,fechas de inicio y fin
ObtenerFechas,Cuándo comienza el curso?
ObtenerFechas,Fechas importantes del curso de inteligencia artificial
ObtenerFechas,Cuáles son las fechas importantes del curso de emprendimiento
ObtenerFechasInicio,Cuándo inicia el curso de emprendimiento
ObtenerFechasInicio,Cuándo empiezan los cursos ?
ObtenerFechasInicio,Fecha de inicio de los moocs?
ObtenerFechasInicio,Día de inicio de los moocs ?
ObtenerFechasInicio,En que fecha inician los moocs?
ObtenerFechasInicio,A partir de que fecha empiezan los mooc?
ObtenerPrerequisitos,Cuáles son los requisitos necesarios para el curso de emprendimiento
ObtenerPrerequisitos,Cuáles son los prerequisitos?
ObtenerPrerequisitos,Requisitos previos de ingreso  al curso
ObtenerPrerequisitos,Dame a conocer los prerequisitos
ObtenerPrerequisitos,Me puedes indicar los prerequistos necesarios?
ObtenerPrerequisitos,Que necesito saber antes de iniciar el curso
ObtenerPrerequisitos,que se necesita saber para este curso
ObtenerPrerequisitos,Los pre requisitos  cuales son?
ObtenerPrerequisitos,Qué se necesita?
ObtenerPrerequisitos,Qué debería saber para tomar el curso?
ObtenerPrerequisitos,Qué conocimientos previos debo tener?
ObtenerPrerequisitos,Qué tengo que saber?
ObtenerPrerequisitos,Requisitos previos
ObtenerPrerequisitos,Conocimientos previos
ObtenerDuracion,Cuanto dura el curso de empendimiento
ObtenerDuracion,Duración del curso
ObtenerDuracion,Número de horas del mooc?
ObtenerDuracion,En cuántas semanas se realiza el curso?
ObtenerDuracion,Cuanto dura el curso
ObtenerDuracion,Tiempo que dura un curso?
ObtenerDuracion,cuanto puede durar un curso mooc
ObtenerDuracion,cuanto dura el curso?
ObtenerDuracion,cual es la duracion de psicologia social?
ObtenerDuracion,Cuánto tiempo dura el mooc?
ObtenerDuracion,De cuántas semanas es el mooc?
ObtenerDuracion,Cuántas horas dura el mooc?
ObtenerDuracion,Cuánto tiempo dura el mooc?
ObtenerDuracion,De cuántas semanas es el mooc?
ObtenerPrecio,Cual es el precio del curso de emprendimiento
ObtenerPrecio,Cuál es el precio?
ObtenerPrecio,Cuánto vale?
ObtenerPrecio,Valor del curso?
ObtenerPrecio,Costo
ObtenerPrecio,Inversión total del curso
ObtenerPrecio,cual es el valor de los componentes?
ObtenerPrecio,costo de los cursos?
ObtenerPrecio,cuanto cuesta los cursos
ObtenerPrecio,Cuál es precio del curso?
ObtenerPrecio,Cuánto cuesta el mooc de Administración Empresarial?
ObtenerPrecio,tiene algun valor los cursos?
ObtenerPrecio,Cuanto cuesta el  curso Método Toyota?
ObtenerPrecio,Cuanto cuesta un curso?
ObtenerPrecio,Que vale el curso ?
ObtenerPrecio,Es gratis?
ObtenerPrecio,Cuanto vale el mooc?
ObtenerPrecio,Precio
ObtenerDocente,Cual es el docente del curso de emprendimiento
ObtenerDocente,Quién es mi profesor en el curso?
ObtenerDocente,Docente del mooc?
ObtenerDocente,Qué docente imparte el mooc?
ObtenerDocente,Quién es el docente encargado de la materia?
ObtenerDocente,Nombre del docente del mooc
ObtenerDocente,Que profesor esta a cargo del curso
ObtenerDocente,cual es mi docente del mooc
ObtenerDocente,información del docente
ObtenerDocente,Quién es el docente encargado?
ObtenerDocente,Quién va a dar el MOOC
ObtenerDocente,Que docente acompaña  al estudiante?
ObtenerDocente,Cual es el profe de Salud Sexual y Reproductiva
ObtenerContenidos,Cuáles son los contenidos a tratar en el curos de emprendimiento
ObtenerContenidos,Contenido del curso
ObtenerContenidos,Cuál es la temática de cada curso?
ObtenerContenidos,Qué temas se van a tratar en cada curso?
ObtenerContenidos,De que se tratan los moocs
ObtenerContenidos,Cuáles son las temas del curso?
ObtenerContenidos,Que se va a tratar en este curso?
ObtenerContenidos,Qué se va a dar en el curso?
listarCursos,Que cursos hay
listarCursos,Muestrame los cursos
listarCursos,Cual es la oferta actual
listarCursos,Cuentame que cursos tienes
listarCursos,Que cursos me ofreces
listarCursos,Que cursos estan disponibles
listarCursos,Listame los cursos
listarCursos,Que cursos tiene
