id;name;price;index;available;category;containerCost;description;display;est_time;image_url;zone
J27JngxDqY6ik7SuVX9D;Hamburguesa de res mediana;1.5;0;TRUE;1lfLkbpXvzTqwOyJCrzJ;0.53;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FLYtMA17CjrYaKHh57Ww3%2Fresized%2F1600726954301_iebmu4jd6ul_500x500?alt=media&token=020812c3-1f66-48ed-84b6-76b9c7eee64b;Bn3kVXjJ5reuMxE35khn
OHcurIgM2yuoLfD2O5eS;Hamburguesa de res Grande;2.5;1;TRUE;1lfLkbpXvzTqwOyJCrzJ;0.1;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FLYtMA17CjrYaKHh57Ww3%2Fresized%2F1601326292410_n6of546eu2q_500x500?alt=media&token=3138e089-52da-42df-8efc-5c27b6a61fcf;Bn3kVXjJ5reuMxE35khn
ekUQGHwAtZ73ZzbkrrXd;hamburguesa titan;1;2;TRUE;1lfLkbpXvzTqwOyJCrzJ;0;;TRUE;1;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FLYtMA17CjrYaKHh57Ww3%2Fresized%2F1611006625741_4to2djoqffs_500x500?alt=media&token=999a622c-cf9e-411c-9332-851d6fd10ae8;Bn3kVXjJ5reuMxE35khn
19FsNy6G1Pk6vhDSDx9D;Coca cola con café;1;0;TRUE;25WNw0FKS8yrAaEajCmZ;0;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FLYtMA17CjrYaKHh57Ww3%2Fresized%2F1613692390741_ptmxj27978_500x500?alt=media&token=02d2157a-1f83-48c5-81df-61e673298f0c;
BYhuHR6tghAT3lM1yn1a;Limonada;0.5;0;TRUE;25WNw0FKS8yrAaEajCmZ;0;Refrescante limonada;TRUE;30;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FLYtMA17CjrYaKHh57Ww3%2Fresized%2F1600830885413_03yp9s6i064v_500x500?alt=media&token=01cdd630-b38f-431f-b178-7a0844f3e2a1;xd4KReAEwMzpZH84n3qN
uGajQrLIm63tahEt3vA9;Jugo;2.5;1;TRUE;25WNw0FKS8yrAaEajCmZ;0.1;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FLYtMA17CjrYaKHh57Ww3%2Fresized%2F1611006580951_ny4mjbodsq_500x500?alt=media&token=164ab669-7563-4983-bb3c-d4f8a0595019;xd4KReAEwMzpZH84n3qN
Cw19QpjqypzCJik13tZL;Ensalada de frutas con chantilly;1.75;undefined;TRUE;8JjK275cJhlGDFyxAqri;0;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FanmzJT7JaCjJM2CVFNlP%2Fresized%2F1596401588819_516sa5xjwcd_500x500?alt=media&token=61bd8d44-5816-4cbd-8268-ccd8792b356a;
z9C6PnF9uNjA9VXWlSqV;Ensalada de frutas con yogurth;1.75;undefined;TRUE;8JjK275cJhlGDFyxAqri;0;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FanmzJT7JaCjJM2CVFNlP%2Fresized%2F1596401999430_gc6tfh0uve_500x500?alt=media&token=a4b23f4a-d33a-4eb5-84a2-6d245710af0f;
zQClZsehPB7AnWve33ih;Ensalada de frutas con helado (doble);3.5;undefined;TRUE;8JjK275cJhlGDFyxAqri;0;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FanmzJT7JaCjJM2CVFNlP%2Fresized%2F1596401946434_0gpp59sbs1tk_500x500?alt=media&token=5355ad1b-4c09-4576-b18c-533543e2d5c5;
uhe23Nq27za6zGveDtYd;5 Alas;6;0;TRUE;9hoZDkWF0xgyWz72jQKj;0.2;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FLYtMA17CjrYaKHh57Ww3%2Fresized%2F1613173435459_cwqcxc8bb2f_500x500?alt=media&token=13d65bc4-66f4-48ed-ae13-c1da53cabb20;
S4asO0oH75dE4eMRVjHy;Hot Dog doble;2;undefined;TRUE;Dcg09lzi095uVf4fu9AZ;0;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FanmzJT7JaCjJM2CVFNlP%2Fresized%2F1596404209897_r4o3h5ow7rg_500x500?alt=media&token=ab8492a1-eb06-402b-8210-a0ee75a0668f;
rQFHXNrKx6tyvdkUjcLM;Hot Dog simple;1.5;undefined;TRUE;Dcg09lzi095uVf4fu9AZ;0;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FanmzJT7JaCjJM2CVFNlP%2Fresized%2F1596404197346_l0koq9tuxj_500x500?alt=media&token=2a4d31b8-9df8-4520-9231-651ce1db9d14;
To2KDMAEA4h3Rf8jabXI;Pescado;5;0;TRUE;fzc4msH8PgWu6bbMyaQU;0;;TRUE;5;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FLYtMA17CjrYaKHh57Ww3%2Fresized%2F1608179013572_ra79yfg8ma_500x500?alt=media&token=670d379c-8be4-4250-92a8-9ef6a3df8ad5;
YgG0SBSBzIgoLUKDo0Vv;Filete de pollo ;5;1;TRUE;fzc4msH8PgWu6bbMyaQU;0;Rico filete ;TRUE;20;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FLYtMA17CjrYaKHh57Ww3%2Fresized%2F1600830946797_9nby8cxgm7_500x500?alt=media&token=75d02b55-fc2d-4728-93c5-1a2320c3755c;
7iUeFGTqZHXa4QogWrSq;Papa con queso;1.5;undefined;TRUE;gF4Gzuq2uZJdgOjFA8Zk;0;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FanmzJT7JaCjJM2CVFNlP%2Fresized%2F1596680579068_ba7gfya69oa_500x500?alt=media&token=ddb4733d-d7e9-43ca-bd65-3b36bd76f95b;
AULfbD03E1bBXNRziapD;Papas con pechuga apanada;1.75;undefined;TRUE;gF4Gzuq2uZJdgOjFA8Zk;0;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FanmzJT7JaCjJM2CVFNlP%2Fresized%2F1596681051497_pt57fhrgibm_500x500?alt=media&token=660d03d1-07ca-4cb4-bddd-7c9b64f280e3;
HYDJmzrKW1RKS71qTB1z;Papas con huevo;1.5;undefined;TRUE;gF4Gzuq2uZJdgOjFA8Zk;0;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FanmzJT7JaCjJM2CVFNlP%2Fresized%2F1596680949398_g44eubt19kq_500x500?alt=media&token=297d1aa0-615f-4aaa-a574-75e915e7ad07;
XW4UzIarzGvy2pNSkPOR;Papas con salchicha;1;undefined;TRUE;gF4Gzuq2uZJdgOjFA8Zk;0;;TRUE;10;https://firebasestorage.googleapis.com/v0/b/ordersmanagment-c22d9.appspot.com/o/public%2FanmzJT7JaCjJM2CVFNlP%2Fresized%2F1596681032100_lwb2blpnshp_500x500?alt=media&token=3d787da4-a9dd-4e7b-9f4c-b9cbcf3bc472;
